,median,xgb,average,l,u,ll,uu,true,delta,p12,p23,m1,m2,m3,petit,petitf
38,8.831670761108398,6.858356952667236,8.898370742797852,10.07022232055664,7.926211376190185,11.286438918113706,6.424392771720886,9.315011604147776,8.768151191629396,0.8470961080867057,0.8470961080867059,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
39,9.021242141723633,6.858356952667236,8.92592716217041,9.769180145263672,7.989801025390625,10.960069537162779,6.7564823746681215,9.360245525779407,8.955910498483384,0.8440850348964625,0.8440850348964622,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
40,9.105222702026367,7.049215793609619,8.959775924682617,10.132747993469238,7.924583797454834,11.11275544166565,6.344338202476502,8.827023325810279,9.129519000764958,0.8413100637885429,0.8413100637885428,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
41,9.204143524169922,5.580361843109131,9.208066940307617,10.064013328552246,8.283923110961915,11.394629096984861,7.074722743034362,7.900193747545116,9.321866919648375,0.8382458048322319,0.8382458048322319,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
42,8.666219711303711,5.727033615112305,8.69990062713623,9.61740322113037,7.689619026184082,11.210252094268798,6.747856307029724,6.335003836392068,9.497428256575052,0.835458332976061,0.835458332976061,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
43,8.641860961914062,5.730037212371826,8.435953140258789,9.53208683013916,7.36699125289917,10.233039855957031,5.99569182395935,8.42461568609788,9.666890878444896,0.832776135977294,0.832776135977294,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
44,9.245040893554688,5.41714334487915,9.266831398010254,9.940389099121093,8.290511398315429,11.385066032409664,7.542614018917083,8.67893679479723,9.84343741122905,0.8299906044872594,0.8299906044872593,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
45,9.347728729248047,7.110439300537109,9.339635848999023,10.060916023254395,8.703365440368652,11.485769772529597,7.26936126947403,10.006547208103676,10.156668182152481,0.8250704472373339,0.8250704472373339,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
46,9.339387893676758,6.682581424713135,9.438311576843262,10.12871555328369,8.635247077941894,11.617446231842036,7.991661155223847,10.006547208103676,10.809546456487539,0.8149047395697394,0.8149047395697394,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
47,9.439460754394531,6.8392438888549805,9.69685173034668,10.451942977905272,9.096860275268554,11.988418769836423,8.618342280387878,10.006547208103676,11.49837229853997,0.8043089653128762,0.8043089653128762,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
48,9.534407615661621,6.895092964172363,9.604988098144531,10.367040939331055,8.98603816986084,11.22597904205322,7.76297926902771,10.006547208103676,12.26016048802625,0.7927435568362409,0.7927435568362409,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
49,9.3447265625,6.912379741668701,9.566018104553223,10.262961311340332,9.059559173583985,11.11882586479187,8.384413957595825,10.006547208103676,12.996704296314638,0.7817115271984029,0.7817115271984029,3.0035e-06,3.0035e-06,3.0035e-06,inf,inf
