k,overall_complexity,rmse,complexity,loss,score,equation,sympy_format,lambda_format
4,41,1.458765465426409,11,2.4793577,0.0533820702557575,(s4 ^ -0.14398263) * (4.1136184 - (m2 / (m9 - -1.9693646))),(-m2/(m9 + 1.9693646) + 4.1136184)/s4**0.14398263,PySRFunction(X=>(-m2/(m9 + 1.9693646) + 4.1136184)/s4**0.14398263)
4,52,1.4129702738870007,12,2.320604,0.06617203807523267,(m6 + ((3.5976205 - m6) / (s4 ^ 0.18561466))) - sin(m2),m6 + (3.5976205 - m6)/s4**0.18561466 - sin(m2),PySRFunction(X=>m6 + (3.5976205 - m6)/s4**0.18561466 - sin(m2))
4,53,1.4891190060824968,13,2.2795985,0.017828165653657194,(4.0017095 * (s4 ^ -0.15317819)) - (((m2 + m5) + m6) / 2.1038895),-0.475310133921007*m2 - 0.475310133921007*m5 - 0.475310133921007*m6 + 4.0017095/s4**0.15317819,PySRFunction(X=>-0.475310133921007*m2 - 0.475310133921007*m5 - 0.475310133921007*m6 + 4.0017095/s4**0.15317819)
4,54,1.473584032104536,14,2.2303123,0.021857710458600632,((4.1991105 / (s4 ^ 0.14311124)) - ((m5 + m6) / 2.118152)) - sin(m2),-0.47210965029894*m5 - 0.47210965029894*m6 + 4.1991105/s4**0.14311124 - sin(m2),PySRFunction(X=>-0.47210965029894*m5 - 0.47210965029894*m6 + 4.1991105/s4**0.14311124 - sin(m2))
4,65,1.4515675227444804,15,2.114677,0.0532395383502793,(4.0017095 * (s4 ^ -0.15317819)) - (((m2 + (m5 + m8)) + m6) / 2.1038895),-0.475310133921007*m2 - 0.475310133921007*m5 - 0.475310133921007*m6 - 0.475310133921007*m8 + 4.0017095/s4**0.15317819,PySRFunction(X=>-0.475310133921007*m2 - 0.475310133921007*m5 - 0.475310133921007*m6 - 0.475310133921007*m8 + 4.0017095/s4**0.15317819)
4,66,1.4094358173113515,16,2.0346184,0.03859379927617267,((4.1991105 / (s4 ^ 0.14092548)) - (((m5 + m8) + m6) / 1.8661082)) - sin(m2),-0.535874607913946*m5 - 0.535874607913946*m6 - 0.535874607913946*m8 + 4.1991105/s4**0.14092548 - sin(m2),PySRFunction(X=>-0.535874607913946*m5 - 0.535874607913946*m6 - 0.535874607913946*m8 + 4.1991105/s4**0.14092548 - sin(m2))
4,78,1.3496736767876436,18,1.9694816,0.016268960985393866,(((3.4896502 - (m6 - ((m5 + m8) * -0.2067859))) / (s4 ^ 0.1888699)) - sin(m2)) + m6,m6 + (-0.2067859*m5 - m6 - 0.2067859*m8 + 3.4896502)/s4**0.1888699 - sin(m2),PySRFunction(X=>m6 + (-0.2067859*m5 - m6 - 0.2067859*m8 + 3.4896502)/s4**0.1888699 - sin(m2))
4,79,1.3482299026046725,19,1.9643465,0.00261074087946179,(((3.4896502 - (m6 - sin((m5 + m8) * -0.2067859))) / (s4 ^ 0.1888699)) - sin(m2)) + m6,m6 + (-m6 - sin(0.2067859*m5 + 0.2067859*m8) + 3.4896502)/s4**0.1888699 - sin(m2),PySRFunction(X=>m6 + (-m6 - sin(0.2067859*m5 + 0.2067859*m8) + 3.4896502)/s4**0.1888699 - sin(m2))
4,80,1.3598241392902422,20,1.9047313,0.03081867127158217,((((3.4191902 - (m6 - (-0.22185668 * (m5 + m8)))) / (s4 ^ 0.18017244)) + 0.49834457) - sin(m2)) + m6,m6 + (-0.22185668*m5 - m6 - 0.22185668*m8 + 3.4191902)/s4**0.18017244 - sin(m2) + 0.49834457,PySRFunction(X=>m6 + (-0.22185668*m5 - m6 - 0.22185668*m8 + 3.4191902)/s4**0.18017244 - sin(m2) + 0.49834457)
4,81,1.3397584671148728,21,1.8535783,0.027222961642567545,((3.4191902 - (m6 - sin(-0.28156564 * ((m5 + m2) + m8)))) / sin(s4 ^ 0.18417977)) + (m6 * 1.2797722),1.2797722*m6 + (-m6 - sin(0.28156564*m2 + 0.28156564*m5 + 0.28156564*m8) + 3.4191902)/sin(s4**0.18417977),PySRFunction(X=>1.2797722*m6 + (-m6 - sin(0.28156564*m2 + 0.28156564*m5 + 0.28156564*m8) + 3.4191902)/sin(s4**0.18417977))
4,103,1.3370169578395545,23,1.8242537,0.007973507613273296,(((3.4191902 - (m6 - (-0.1874555 * (m5 + (m8 - m6))))) / (s4 ^ 0.19198166)) - (m2 / (1.7471814 + m9))) + m6,-m2/(m9 + 1.7471814) + m6 + (-0.1874555*m5 - 0.8125445*m6 - 0.1874555*m8 + 3.4191902)/s4**0.19198166,PySRFunction(X=>-m2/(m9 + 1.7471814) + m6 + (-0.1874555*m5 - 0.8125445*m6 - 0.1874555*m8 + 3.4191902)/s4**0.19198166)
